Liste der Codes	Memo	Häufigkeit
Fusioniert mit Code TIMRTOWTDT vs. There should be one way to do things > Recommended way of doing something
	7
Answer states (that there is) a preferred solution	-	1
Asking for a preferred / recommended solution	-	2
Disapproval of multiple options	Americans might say "My way or the highway", Mandalorians say "This is the way", Pythonistas like to say "There should be one way to do it". This is the code for all of them and others.	15
TIMRTOWTDI	-	17
Answer gives multiple options or additional answer than accepte	This code is used to mark answers as giving multiple options of doing one thing without explicitly discussing the pros and cons of having this.	70
Approval of multiple options	Some people might like the freedom of more choices, or defend specific new choices that are added in addition to old ones since they offer certain advantages. This is the code for them.	17
Disapproval of recommended / preferred solution	-	5
Mention Alias or equivalent alternative	-	4
culture categories	Grouping text by culture categories defined as conceptions of waht is true, good, beautiful, and efficient.	0
Efficiency	Statements on memory usage, execution time, mental load, maintainability and other similar things fall under this category	23
Focus on performance	-	43
Something else more important than performance	-	2
Focus on memory efficiency	-	2
Benchmarking results	-	12
Short code is better	The goal of keeping code as short as possible has a long tradition in programming circle. A particular love for one-liners is often attributed to the Perl community. Tracking mentions of this can be done with this code and general recommendations on how to keep code as short as possible.	24
Goodness	Goodness, as in morality, applying normative values, be that on coding, software engineering or community interaction. Statements such as "You must...", "Never do..." or "We should..." generally fall in this category.	26
Rebel against authority	When people disgree with authorative sources, it might be an indicator of a more "freedom loving" community or at least individual	2
truth	Statement of truths are obviously abundant in relatively factual discussions like the ones subject of this exploration. Sentences like 1+1==2 might be true - but rather uninteresting in our context, thus only less obvious statements of or about truth, especially those meta-truths, shall be encoded with this.	9
beauty	Even programmers are visual animals, and often hold surprisingly strong views about beauty. Discussions on how code, output or other things should look can be marked with this.	18
Readability is important	-	8
There's something here, but I'm not sure what it is	-	85
Things Lower than language level	For example, when talking about specific interpreter / compiler implementations and how they vary. 	8
Rails as ruby default	-	2
Usage of metaphor to explain code	When people use metaphors to explain how code works in an attempt to make things more easily understandable	2
There's a package/module/tool for this	When people suggest using packages or modules instead of self-writing new code. Closely connected to not "reinventing the wheel"	56
Don't use a package/module for this	-	8
